MANDT,MSEHI,KZEX3,KZEX6,ANDEC,KZKEH,KZWOB,KZ1EH,KZ2EH,DIMID,ZAEHL,NENNR,EXP10,ADDKO,EXPON,DECAN,ISOCODE,PRIMARY,TEMP_VALUE,TEMP_UNIT,FAMUNIT,PRESS_VAL,PRESS_UNIT,MSEH3,MSEH6,MSEHT
"001","KM2","","","0","","","","","SURFAC","1.000.000","1","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KM2","km2","km2"
"001","KMH","","","0","","","","","SPEED","10","36","0","0.000000","0","0","KMH","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KMH","km/h","km/h"
"001","KMK","","","0","","","","","VPROPO","1","1","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KMK","m3/m3","m3/m3"
"001","KMN","","","0","","","","","TEMPRT","1","60","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KMN","K/min","K/min"
"001","KMS","","","0","","","","","TEMPRT","1","1","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KMS","K/s","K/s"
"001","KOH","","","0","","","","","RESIST","1.000","1","0","0.000000","0","0","B49","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KOH","kOhm","kOhm"
"001","KPA","","","0","","","","","PRESS","1","1","3","0.000000","0","0","KPA","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KPA","kPa","kPa"
"001","KT","","","0","","","","","MASS","1.000.000","1","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KT","kt","kt"
"001","KV","","","0","","","","","VOLTAG","1.000","1","0","0.000000","0","0","KVT","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KV","kV","kV"
"001","KVA","","","0","","","","","POWER","1","1","3","0.000000","0","0","KVA","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KVA","kVA","kVA"
"001","KW","","","3","","","","","POWER","1.000","1","0","0.000000","0","0","KWT","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KW","KW","KW"
"001","KWH","","","99","","","","","ENERGY","3.600","1","3","0.000000","0","0","KWH","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KWH","kW.h","kW.h"
"001","KWK","","","0","","","","","AAAADL","1","1","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","KIK","kai/kg","kai/kg"
"001","L","","","3","","","","","VOLUME","1","1.000","0","0.000000","0","0","LTR","","0.0000000000000000E+00","","","0.0000000000000000E+00","","L","l","l"
"001","L2","","","0","","","","","VOLFLO","1","60.000","0","0.000000","0","0","L2","","0.0000000000000000E+00","","","0.0000000000000000E+00","","LMI","l/min","l/min"
"001","LB","","","0","","","","","MASS","453.592","1.000.000","0","0.000000","0","0","","","0.0000000000000000E+00","","","0.0000000000000000E+00","","LB","lb","Pound"
